#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0008590000000000144,2128.855932598371,1.6951830515748225e-06,0.0002387794205574606,2.0851353290479473e-05,0.1252376845296944,0.0024737433247380477,0.1150080462277307,0.7569611823278252,9.741969826910638e-10,2.3723757992773345e-05,5.296300086726301e-06,2.857981857809614e-07,2.8710802273558637e-05,3.7618658139376285e-13,0.0
0.0008600000000000144,2128.8580552786007,1.6947499211783004e-06,0.00023873870809113144,2.084779983031895e-05,0.1252377792190535,0.002473538271334002,0.11500819051636496,0.7569611727387341,9.740477182091922e-10,2.374430020364525e-05,5.296169373698519e-06,2.8575039598643946e-07,2.8710802273558637e-05,3.7611191844531844e-13,0.0
0.0008610000000000144,2128.8601630623475,1.6943198337105767e-06,0.00023869827795444326,2.0844271031326237e-05,0.12523787318699595,0.0024733346206414738,0.115008333814076,0.7569611631511162,9.738995016034792e-10,2.3764839256183495e-05,5.29603960727235e-06,2.857029381968312e-07,2.8710802273558637e-05,3.7603778585663473e-13,0.0
0.0008620000000000144,2128.8622560539893,1.693892767031823e-06,0.0002386581281412132,2.084076671817971e-05,0.12523796643852617,0.002473132362943991,0.11500847612777776,0.7569611535649615,9.737523254848298e-10,2.3785375171954908e-05,5.295910780111346e-06,2.856558100485344e-07,2.8710802273558637e-05,3.759641796764323e-13,0.0
0.0008630000000000145,2128.864334357157,1.6934686991709772e-06,0.00023861825665995225,2.0837286716843007e-05,0.12523805897861331,0.0024729314885931003,0.11500861746433517,0.7569611439802602,9.736061825175546e-10,2.3805907972375684e-05,5.2957828849410345e-06,2.856090091953161e-07,2.8710802273558637e-05,3.7589109598471733e-13,0.0
0.0008640000000000145,2128.8663980747424,1.6930476083240168e-06,0.00023857866153372657,2.0833830854552905e-05,0.1252381508121919,0.002472731988007784,0.11500875783056451,0.7569611343970021,9.73461065418881e-10,2.382643767871269e-05,5.295655914548231e-06,2.8556253330814725e-07,2.8710802273558637e-05,3.758185308924334e-13,0.0
0.0008650000000000145,2128.8684473084872,1.6926294729723888e-06,0.00023853934080913305,2.0830398960601377e-05,0.1252382419441436,0.002472533851708556,0.11500889723320737,0.7569611248151775,9.73316966990132e-10,2.384696431201196e-05,5.295529861808969e-06,2.855163800858835e-07,2.8710802273558637e-05,3.7574648056916677e-13,0.0
0.0008660000000000145,2128.8704821599486,1.6922142716050918e-06,0.00023850029253521054,2.082699086449787e-05,0.12523833237933957,0.002472337070237175,0.11500903567899202,0.7569611152347766,9.73173880043441e-10,2.38674878932672e-05,5.29540471962207e-06,2.854705472301702e-07,2.8710802273558637e-05,3.7567494117831403e-13,0.0
0.0008670000000000146,2128.8725027298196,1.6918019829151709e-06,0.00023846151477833707,2.0823606397267385e-05,0.1252384221226106,0.0024721416342132676,0.11500917317459014,0.7569611056557897,9.73031797453507e-10,2.3888008443301033e-05,5.295280480955651e-06,2.8542503246316917e-07,2.8710802273558637e-05,3.756039089230135e-13,0.0
0.0008680000000000146,2128.874509118028,1.69139258577053e-06,0.000238423005620008,2.0820245391256815e-05,0.1252385111787517,0.002471947534325823,0.11500930972662325,0.7569610960782072,9.728907121498668e-10,2.3908525982782915e-05,5.295157138839906e-06,2.8537983352491543e-07,2.8710802273558637e-05,3.755333800393859e-13,0.0
