# Position_mm,Temperature_K,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
1.753356933593750000e+01,1.017440638151132589e+03,1.574015405674949325e-02,6.941847032824692955e-04,1.296443569245492745e-03,1.728432517223682519e-01,1.287764770227574048e-03,6.530540909251297821e-02,2.172548650110555182e-04,4.929958081325885362e-05,-8.424600474191656972e-16,7.425662376406100273e-01
1.753417968750000000e+01,1.020789052915055549e+03,1.567546327559871458e-02,7.013916653079316785e-04,1.319013918965545110e-03,1.723569343928824382e-01,1.298152645354246505e-03,6.584006254354660137e-02,2.157741973209094334e-04,4.826797055450075813e-05,-3.785864050345264313e-16,7.425449393918491792e-01
1.753479003906249645e+01,1.024129271998099739e+03,1.561076705518839661e-02,7.086161949144436549e-04,1.341796834123611462e-03,1.718680461877583887e-01,1.308759512169896172e-03,6.637653258284291480e-02,2.143091421823579122e-04,4.725458012803446299e-05,-2.094166671794423159e-15,7.425239179114644372e-01
1.753540039062499645e+01,1.027461258072302371e+03,1.554606771977386746e-02,7.158577739064747938e-04,1.364790137673738786e-03,1.713765997627839377e-01,1.319585853607760720e-03,6.691480209318378947e-02,2.128594051385545433e-04,4.625933075799630801e-05,-1.470171892751519661e-15,7.425031779247547314e-01
1.753601074218749645e+01,1.030784973660463947e+03,1.548136762398331576e-02,7.231158785898840913e-04,1.387991579179831793e-03,1.708826086810575628e-01,1.330632084635413907e-03,6.745485327112532570e-02,2.114246969120919600e-04,4.528213553178527570e-05,-3.979641893606989743e-15,7.424827240495549541e-01
1.753662109375000000e+01,1.034100381142209244e+03,1.541666915262080752e-02,7.303899798404751582e-04,1.411398836041884717e-03,1.703860874148333260e-01,1.341898552566215663e-03,6.799666762879559567e-02,2.100047334872228810e-04,4.432289968497695652e-05,-2.607400131825462496e-15,7.424625608029294943e-01
1.753723144531250355e+01,1.037407442760720869e+03,1.535197472007895914e-02,7.376795431597042620e-04,1.435009514706344497e-03,1.698870513427432893e-01,1.353385537340838192e-03,6.854022599462628040e-02,2.085992361245989448e-04,4.338152084514287725e-05,-2.104337162479740387e-15,7.424426925906859598e-01
1.753784179687500355e+01,1.040706120630279202e+03,1.528728677004729912e-02,7.449840287519326597e-04,1.458821151957072262e-03,1.693855167499399017e-01,1.365093251875658300e-03,6.908550851602422715e-02,2.072079313955841359e-04,4.245788931313160963e-05,2.985197891162888316e-16,7.424231237122411731e-01
1.753845214843750000e+01,1.043996376744478994e+03,1.522260777489873804e-02,7.523028915919103762e-04,1.482831216197504336e-03,1.688815008243589599e-01,1.377021842389915393e-03,6.963249466124536713e-02,2.058305511659001103e-04,4.155188831197075721e-05,-2.018747044040433989e-15,7.424038583514652734e-01
1.753906250000000000e+01,1.047278172984994171e+03,1.515794023532272480e-02,7.596355815110062727e-04,1.507037108803173852e-03,1.683750216553571433e-01,1.389171388791599852e-03,7.018116322296280574e-02,2.044668325992276441e-04,4.066339426734557147e-05,-4.680391659859111819e-15,7.423849005804565859e-01
1.753967285156250000e+01,1.050551471131028620e+03,1.509328667984295019e-02,7.669815432839100682e-04,1.531436165485590894e-03,1.678660982307560445e-01,1.401541905063041077e-03,7.073149232196807024e-02,2.031165181237570448e-04,3.979227706155770498e-05,-1.420081575051926479e-15,7.423662543592812746e-01
1.754028320312500000e+01,1.053816232869325177e+03,1.502864966410365558e-02,7.743402167095481906e-04,1.556025657660585872e-03,1.673547504309824685e-01,1.414133339643246397e-03,7.128345941039312961e-02,2.017793553796849563e-04,3.893840027876228319e-05,-1.154563101484483780e-15,7.423479235256481568e-01
1.754089355468750000e+01,1.057072419804726678e+03,1.496403177049067564e-02,7.817110367159716636e-04,1.580802793897277637e-03,1.668409990265692089e-01,1.426945575881358435e-03,7.183704127708294418e-02,2.004550971997848599e-04,3.810162148736963089e-05,-6.251995503290852233e-16,7.423299118019697218e-01
1.754150390625000000e+01,1.060319993471255430e+03,1.489943560743559395e-02,7.890934334542114769e-04,1.605764721346210388e-03,1.663248656718171181e-01,1.439978432463744681e-03,7.239221405208494386e-02,1.991435015427514901e-04,3.728179248169602005e-05,-1.974900966520286847e-15,7.423122227883472979e-01
1.754211425781249645e+01,1.063558915343684021e+03,1.483486380888521944e-02,7.964868324072184617e-04,1.630908527222834975e-03,1.658063728999528419e-01,1.453231663890319596e-03,7.294895321250352560e-02,1.978443314468705718e-04,3.647875954610091978e-05,-2.129874387775350750e-15,7.422948599647595236e-01
1.754272460937499645e+01,1.066789146849570216e+03,1.477031903364320505e-02,8.038906544976059899e-04,1.656231240296461961e-03,1.652855441165383688e-01,1.466704960953092588e-03,7.350723358832306209e-02,1.965573549627595525e-04,3.569236370072583679e-05,-9.217283278512679246e-16,7.422778266882326115e-01
1.754333496093749645e+01,1.070010649381731128e+03,1.470580396468206159e-02,8.113043161995628404e-04,1.681729832403354875e-03,1.647624035922038432e-01,1.480397951237136418e-03,7.406702936864303921e-02,1.952823450887368744e-04,3.492244095128443324e-05,-1.714605503541998570e-15,7.422611261895973866e-01
1.754394531250000000e+01,1.073223384311145765e+03,1.464132130854112548e-02,8.187272296613909211e-04,1.707401219997141915e-03,1.642369764560187018e-01,1.494310199657033740e-03,7.462831410890477524e-02,1.940190797131951378e-04,3.416882254514790854e-05,-1.984902287084123132e-15,7.422447615756999628e-01
1.754455566406250355e+01,1.076427313000170670e+03,1.457687379460218327e-02,8.261588028262921131e-04,1.733242265700483823e-03,1.637092886871620301e-01,1.508441208996280473e-03,7.519106073804324164e-02,1.927673415395229472e-04,3.343133520973703526e-05,-1.248392861391675312e-15,7.422287358266080881e-01
1.754516601562500355e+01,1.079622396816208948e+03,1.451246417437726706e-02,8.335984395596427636e-04,1.759249779883307946e-03,1.631793671064060702e-01,1.522790420475000298e-03,7.575524156625831895e-02,1.915269180170892896e-04,3.270980139553829015e-05,-3.096511460429999436e-16,7.422130517945723094e-01
1.754577636718750000e+01,1.082808597145714202e+03,1.444809522076898230e-02,8.410455397799604296e-04,1.785420522257623018e-03,1.626472393669646521e-01,1.537357214338030877e-03,7.632082829317193839e-02,1.902976012712087909e-04,3.200403951628449158e-05,-3.259681856058037413e-16,7.421977122026359730e-01
1.754638671875000000e+01,1.085985875408418224e+03,1.438376972737922393e-02,8.484994995975849363e-04,1.811751203497025337e-03,1.621129339455638363e-01,1.552140910471952202e-03,7.688779201673522079e-02,1.890791880353472315e-04,3.131386418818785100e-05,5.573018301415692438e-16,7.421827196467021270e-01
1.754699707031250000e+01,1.089154193071919053e+03,1.431949050759211833e-02,8.559597114450494607e-04,1.838238486840484444e-03,1.615764801306577292e-01,1.567140769015665670e-03,7.745610324146685877e-02,1.878714795683108076e-04,3.063908645311383546e-05,-4.030348137842929319e-15,7.421680765871604413e-01
1.754760742187500000e+01,1.092313511666518025e+03,1.425526039405035535e-02,8.634255642362712252e-04,1.864878989776575739e-03,1.610379080147467945e-01,1.582355991052883989e-03,7.802573188927655612e-02,1.866742816083020887e-04,2.997951403200609688e-05,-1.328651777885184293e-15,7.421537853615460811e-01
1.754821777343750000e+01,1.095463792800298506e+03,1.419108223760163351e-02,8.708964434976349022e-04,1.891669285649640996e-03,1.604972484804400024e-01,1.597785719242676272e-03,7.859664730794269083e-02,1.854874042656453682e-04,2.933495151675011059e-05,9.492426463369282663e-16,7.421398481712020434e-01
1.754882812500000000e+01,1.098604998174428374e+03,1.412695890655957069e-02,8.783717315234839014e-04,1.918605905343956147e-03,1.599545331897272438e-01,1.613429038534242195e-03,7.916881828172578350e-02,1.843106619727021879e-04,2.870520061395190033e-05,-5.794900904581683024e-16,7.421262670846978660e-01
1.754943847656250000e+01,1.101737089598658940e+03,1.406289328595649105e-02,8.858508075354008370e-04,1.945685338972716165e-03,1.594097945728651378e-01,1.629284976896628852e-03,7.974221304242302966e-02,1.831438734182836391e-04,2.809006036836841276e-05,3.197326256283944600e-16,7.421130440419445584e-01
1.755004882812499645e+01,1.104860029007003504e+03,1.399888827662732101e-02,8.933330478348778299e-04,1.972904037547156073e-03,1.588630658150691488e-01,1.645352506043236710e-03,8.031679927993844170e-02,1.819868614623581561e-04,2.748932736313992626e-05,2.409512313336187785e-15,7.421001808504793518e-01
1.755065917968749645e+01,1.107973778473570974e+03,1.393494679423570512e-02,9.008178259563712686e-04,2.000258414653201949e-03,1.583143808422372290e-01,1.661630542179244954e-03,8.089254415291914635e-02,1.808394530648856243e-04,2.690279593076852952e-05,-2.811034788443414307e-15,7.420876791793271643e-01
1.755126953125000000e+01,1.111078300228552962e+03,1.387107176868762615e-02,9.083045128498169448e-04,2.027744848203635094e-03,1.577637743107756785e-01,1.678117946830158351e-03,8.146941430204535095e-02,1.797014792447266596e-04,2.633025838612063925e-05,-1.235590081414864644e-15,7.420755405741029653e-01
1.755187988281250355e+01,1.114173556674254996e+03,1.380726614292853566e-02,9.157924770254338188e-04,2.055359682080397030e-03,1.572112815901662297e-01,1.694813527587951500e-03,8.204737586016137840e-02,1.785727749697081136e-04,2.577150518978331463e-05,-1.927664215914289276e-15,7.420637664404929890e-01
1.755249023437500355e+01,1.117259510401311900e+03,1.374353287226521766e-02,9.232810847379438468e-04,2.083099227891090695e-03,1.566569387511853040e-01,1.711716038976794727e-03,8.262639446584207903e-02,1.774531791215048159e-04,2.522632517831718742e-05,-7.083866791090276234e-16,7.420523580560334231e-01
1.755310058593750355e+01,1.120336124204975931e+03,1.367987492330502430e-02,9.307697001479276096e-04,2.110959766652615449e-03,1.561007825495193679e-01,1.728824183270293155e-03,8.320643527510204751e-02,1.763425344089615413e-04,2.469450574010463199e-05,-1.779558298104927710e-15,7.420413165624411000e-01
1.755371093750000000e+01,1.123403361101374458e+03,1.361629527317853583e-02,9.382576855056587060e-04,2.138937550535171313e-03,1.555428504123201328e-01,1.746136611380605125e-03,8.378746297511498187e-02,1.752406873178556342e-04,2.417583302064229130e-05,-5.110754787527963536e-16,7.420306429735444853e-01
1.755432128906250000e+01,1.126461184343873356e+03,1.355279690840936919e-02,9.457444013134556557e-04,2.167028804541241017e-03,1.549831804204900021e-01,1.763651923708919010e-03,8.436944179616531758e-02,1.741474880259421523e-04,2.367009209058916104e-05,-4.088616806108792465e-15,7.420203381650225527e-01
1.755493164062500000e+01,1.129509557439441551e+03,1.348938282427078472e-02,9.532292065253345848e-04,2.195229728282495872e-03,1.544218112962450484e-01,1.781368671100304855e-03,8.495233552689658574e-02,1.730627903680973629e-04,2.317706715491713387e-05,1.364976049943629840e-16,7.420104028909038085e-01
